Tiempo (s),Velocidad (m/s)
69293.88679245283,-1.6550572402024002e-10
69294.03773584905,-7.234219536675951e-11
69294.18867924529,7.551374628270924e-11
69294.3396226415,2.0234162182520054e-10
69294.49056603774,2.4090780740030173e-10
69294.64150943396,1.7020598510074357e-10
69294.7924528302,2.5793988859180366e-11
69294.94339622642,-1.2123716123473762e-10
69295.09433962264,-2.029948278844521e-10
69295.24528301887,-1.8915448303402062e-10
69295.39622641509,-9.899804778048122e-11
69295.54716981133,1.369007488990797e-11
69295.69811320755,9.282239542086712e-11
69295.84905660378,1.1033790046452599e-10
69296.0,7.736484693525331e-11
69296.15094339622,3.0591668725000156e-11
69296.30188679245,3.688831148222407e-12
69296.45283018867,3.560434759262924e-12
69296.60377358491,8.428688129301066e-12
69296.75471698113,-1.033833546835654e-11
69296.90566037736,-5.87913081924755e-11
69297.05660377358,-1.0730154424463726e-10
69297.2075471698,-1.0772899598781731e-10
69297.35849056604,-3.203676709980156e-11
69297.50943396226,9.585310168189351e-11
69297.6603773585,2.0304139533315685e-10
69297.81132075471,2.1072283382729768e-10
69297.96226415095,9.307967823855086e-11
69298.11320754717,-1.0380041204726138e-10
69298.2641509434,-2.5307554840746685e-10
69298.41509433962,-2.684503199743452e-10
69298.56603773584,-1.382300378003639e-10
69298.71698113208,9.13876318282008e-11
69298.8679245283,2.3198065226921205e-10
69299.01886792453,2.236456431871606e-10
69299.16981132075,7.215866821415934e-11
69299.32075471699,-1.3277541466810668e-10
69299.47169811321,-2.260859921135694e-10
69299.62264150943,-1.5354588130123744e-10
69299.77358490566,4.294381972392863e-11
69299.92452830188,2.257505433750895e-10
69300.07547169812,2.7393169223524114e-10
69300.22641509434,1.615809442870036e-10
69300.37735849057,-6.893562532315201e-11
69300.52830188679,-2.2768691966094127e-10
69300.67924528301,-2.5136469504302107e-10
69300.83018867925,-1.3506790612078266e-10
69300.98113207547,2.6974799245443794e-11
69301.1320754717,1.2258485784887705e-10
69301.28301886792,1.0164356829496602e-10
69301.43396226416,5.548011057053758e-12
69301.58490566038,-7.201229338487362e-11
69301.7358490566,-6.020970800847854e-11
69301.88679245283,3.51797247792544e-11
69302.03773584905,1.3831114724203776e-10
69302.18867924529,1.6284681885867647e-10
69302.3396226415,7.8550020547752e-11
69302.49056603774,-6.464508741823447e-11
69302.64150943396,-1.7192090461814974e-10
69302.7924528302,-1.7144008136053822e-10
69302.94339622642,-6.536044102441198e-11
69303.09433962264,7.192552299888704e-11
69303.24528301887,1.459422632549392e-10
69303.39622641509,1.0728884556182077e-10
69303.54716981133,-1.5189535545298748e-11
69303.69811320755,-1.347724939995155e-10
69303.84905660378,-1.655742045897296e-10
69304.0,-7.967642010973964e-11
69304.15094339622,7.444417514130375e-11
69304.30188679245,2.027572062081469e-10
69304.45283018867,2.2466877778191946e-10
69304.60377358491,1.2251398193203226e-10
69304.75471698113,-4.914458194693183e-11
69304.90566037736,-1.9369938683669751e-10
69305.05660377358,-2.358882814965526e-10
69305.2075471698,-1.5822270572943762e-10
69305.35849056604,-1.1490924715963597e-11
69305.50943396226,1.1867381059478986e-10
69305.6603773585,1.630729662929219e-10
69305.81132075471,1.0804930062686756e-10
69305.96226415095,1.7617439461530332e-14
69306.11320754717,-8.586265728732229e-11
69306.2641509434,-9.298246909533487e-11
69306.41509433962,-1.7808652248416053e-11
69306.56603773584,8.873342716335509e-11
69306.71698113208,1.5317488482604324e-10
69306.8679245283,1.2505509688745147e-10
69307.01886792453,8.758960834025763e-12
69307.16981132075,-1.3708885955238192e-10
69307.32075471699,-2.3207527680239022e-10
69307.47169811321,-2.193346565433647e-10
69307.62264150943,-9.793320747347777e-11
69307.77358490566,7.576717315646222e-11
69307.92452830188,2.1686300024071218e-10
69308.07547169812,2.579230632671325e-10
69308.22641509434,1.8203067490458278e-10
69308.37735849057,3.086151154476449e-11
69308.52830188679,-1.1910545981179967e-10
69308.67924528301,-1.976757084103874e-10
69308.83018867925,-1.7699248661746644e-10
69308.98113207547,-8.296683559124314e-11
69309.1320754717,2.3721795035500022e-11
69309.28301886792,8.540493094769342e-11
69309.43396226416,8.108170769880695e-11
69309.58490566038,3.523494738808073e-11
69309.7358490566,-3.539503404910268e-12
69309.88679245283,3.209183914554601e-13
69310.03773584905,4.2145936686277896e-11
69310.18867924529,7.976890171133384e-11
69310.3396226415,6.580266106261506e-11
69310.49056603774,-1.2753909664746234e-11
69310.64150943396,-1.1722536575600172e-10
69310.7924528302,-1.780448114477534e-10
69310.94339622642,-1.4234344324173012e-10
69311.09433962264,-1.5775007501845695e-11
69311.24528301887,1.3309408163506352e-10
69311.39622641509,2.130184383484508e-10
69311.54716981133,1.701969470194544e-10
69311.69811320755,2.7267246105548472e-11
69311.84905660378,-1.2825621102606386e-10
69312.0,-1.9916910218042007e-10
69312.15094339622,-1.4358478287476125e-10
69312.30188679245,-2.656297843616635e-12
69312.45283018867,1.2712495427934163e-10
69312.60377358491,1.5922600055212904e-10
69312.75471698113,7.534948514672091e-11
69312.90566037736,-6.299133885549397e-11
69313.05660377358,-1.569832009725587e-10
69313.2075471698,-1.3754295888604306e-10
69313.35849056604,-1.1396958902163463e-11
69313.50943396226,1.4377861997136665e-10
69313.6603773585,2.3007991232497354e-10
69313.81132075471,1.9100883924721154e-10
69313.96226415095,4.529564362488493e-11
69314.11320754717,-1.3289824927024212e-10
69314.2641509434,-2.513230268589487e-10
69314.41509433962,-2.5972302171428304e-10
69314.56603773584,-1.6560247732725276e-10
69314.71698113208,-2.109750627358807e-11
69314.8679245283,1.1134880072876149e-10
69315.01886792453,1.8940599216036694e-10
69315.16981132075,2.0178363701473558e-10
69315.32075471699,1.605068606261179e-10
69315.47169811321,8.676125711909934e-11
69315.62264150943,1.9439778290716264e-12
69315.77358490566,-7.367683756112954e-11
69315.92452830188,-1.2074717914586824e-10
69316.07547169812,-1.2550944991619478e-10
69316.22641509434,-8.87131815506178e-11
69316.37735849057,-3.070007585282107e-11
69316.52830188679,1.5528028974407358e-11
69316.67924528301,2.3028714272665414e-11
69316.83018867925,-9.537541640530922e-12
69316.98113207547,-5.249928251190613e-11
69317.1320754717,-6.145254561003271e-11
69317.28301886792,-7.84657090918387e-12
69317.43396226416,9.565679131463713e-11
69317.58490566038,1.943775261882551e-10
69317.7358490566,2.204449753164136e-10
69317.88679245283,1.3632804872913424e-10
69318.03773584905,-3.336956611252413e-11
69318.18867924529,-2.107406696575497e-10
69318.3396226415,-2.9709731507953106e-10
69318.49056603774,-2.384048257442243e-10
69318.64150943396,-6.248430745542515e-11
69318.7924528302,1.567045869288024e-10
69318.94339622642,2.7322644514032895e-10
69319.09433962264,2.4104312951691387e-10
69319.24528301887,7.825893021481446e-11
69319.39622641509,-1.4444790103330844e-10
69319.54716981133,-2.680196993793539e-10
69319.69811320755,-2.454427115622574e-10
69319.84905660378,-8.888859464731191e-11
69320.0,1.4051915536612245e-10
69320.15094339622,2.8183744892265815e-10
69320.30188679245,2.8896665854515716e-10
69320.45283018867,1.5940087981257362e-10
69320.60377358491,-5.1138595471024526e-11
69320.75471698113,-2.1601618672999162e-10
69320.90566037736,-2.7735597857493845e-10
69321.05660377358,-2.1619487483936996e-10
69321.2075471698,-7.676088798899064e-11
69321.35849056604,6.813116868411108e-11
69321.50943396226,1.565647869611886e-10
69321.6603773585,1.6483484663402645e-10
69321.81132075471,1.113087585865983e-10
69321.96226415095,3.903630648028632e-11
69322.11320754717,-1.1007381296212254e-11
69322.2641509434,-2.1649859674206073e-11
69322.41509433962,-5.873466443937761e-12
69322.56603773584,4.577002557483044e-12
69322.71698113208,-1.809541108748928e-11
69322.8679245283,-7.643065132584238e-11
69323.01886792453,-1.4103060042977307e-10
69323.16981132075,-1.647787597008979e-10
69323.32075471699,-1.1202513553113858e-10
69323.47169811321,1.4073467395568841e-11
69323.62264150943,1.6464566477946896e-10
69323.77358490566,2.6662331160603513e-10
69323.92452830188,2.6277891476283607e-10
69324.07547169812,1.4666680637021218e-10
69324.22641509434,-3.1212016562388475e-11
69324.37735849057,-1.8591537502423442e-10
69324.52830188679,-2.525124804780092e-10
69324.67924528301,-2.1260679583726658e-10
69324.83018867925,-1.0294535374137376e-10
69324.98113207547,1.3504096575610893e-11
69325.1320754717,8.715388762943876e-11
69325.28301886792,1.0633929272592219e-10
69325.43396226416,9.285661040381281e-11
69325.58490566038,7.612518388963579e-11
69325.7358490566,6.791926431175373e-11
69325.88679245283,5.6630223934103654e-11
69326.03773584905,2.3143427933034238e-11
69326.18867924529,-3.6657614541307444e-11
69326.3396226415,-1.0199980703615231e-10
69326.49056603774,-1.3822897335558563e-10
69326.64150943396,-1.2028998768966042e-10
69326.7924528302,-5.09777490134962e-11
69326.94339622642,3.908341404419083e-11
69327.09433962264,1.0889834545624488e-10
69327.24528301887,1.2933409078836697e-10
69327.39622641509,9.610520276257129e-11
69327.54716981133,2.797061552320229e-11
69327.69811320755,-4.5087710000772974e-11
69327.84905660378,-9.474729716163996e-11
69328.0,-1.0271607435377778e-10
69328.15094339622,-6.479732297443177e-11
69328.30188679245,7.089126080483159e-12
69328.45283018867,8.547253227420757e-11
69328.60377358491,1.341548788377638e-10
69328.75471698113,1.2314904543889587e-10
69328.90566037736,4.663294855806344e-11
69329.05660377358,-6.738813341828117e-11
69329.2075471698,-1.6553620905920683e-10
69329.35849056604,-1.9500260328850417e-10
69329.50943396226,-1.3357103060290294e-10
69329.6603773585,-5.122567019063042e-12
69329.81132075471,1.304648619397862e-10
69329.96226415095,2.0823931760251974e-10
69330.11320754717,1.9188615846554587e-10
69330.2641509434,9.087779549102372e-11
69330.41509433962,-4.7127374547698403e-11
69330.56603773584,-1.6160606460134017e-10
69330.71698113208,-2.0650167889055804e-10
69330.8679245283,-1.6639517691168217e-10
69331.01886792453,-5.7972899719269435e-11
69331.16981132075,7.858080969849602e-11
69331.32075471699,1.9234191817834256e-10
69331.47169811321,2.363464419839984e-10
69331.62264150943,1.843102819252159e-10
69331.77358490566,4.6193054830182564e-11
69331.92452830188,-1.26488944311081e-10
69332.07547169812,-2.5552554578773537e-10
