Tiempo (s),Velocidad (m/s)
48596.22641509434,1.1035105014848526e-13
48596.377358490565,1.8770707882379366e-13
48596.52830188679,1.0903858217961994e-13
48596.67924528302,-5.3838342806096635e-14
48596.83018867925,-1.5593093390810204e-13
48596.981132075474,-1.1527231888121634e-13
48597.1320754717,1.6174946687510086e-14
48597.28301886792,1.101347766612953e-13
48597.43396226415,8.657520217196038e-14
48597.58490566038,-1.6940661734595327e-14
48597.735849056604,-9.326005499848966e-14
48597.88679245283,-7.556924615707737e-14
48598.03773584906,3.3988602308207957e-15
48598.188679245286,5.756679916256183e-14
48598.339622641506,4.3069854920119996e-14
48598.49056603773,-1.2994623206557984e-15
48598.64150943396,-9.776926949957316e-15
48598.79245283019,2.4903985647450178e-14
48598.943396226416,3.788294209518859e-14
48599.09433962264,-2.6692495361531958e-14
48599.24528301887,-1.2854109777774938e-13
48599.3962264151,-1.4777033559661114e-13
48599.54716981132,-1.0071313855507235e-14
48599.698113207545,2.0297967830374546e-13
48599.84905660377,2.9281202755378453e-13
48600.0,1.2704826200152806e-13
48600.15094339623,-1.9956056733432073e-13
48600.301886792455,-4.050705354698989e-13
48600.45283018868,-2.6312950599688074e-13
48600.6037735849,1.6032581952679812e-13
48600.75471698113,5.166694461492716e-13
48600.90566037736,4.624220125664606e-13
48601.056603773584,-1.419074366170721e-14
48601.20754716981,-5.384714543399152e-13
48601.35849056604,-6.517044869243106e-13
48601.50943396227,-2.2254049082965628e-13
48601.660377358494,4.087405198756386e-13
48601.811320754714,7.076609587614243e-13
48601.96226415094,4.133894796788447e-13
48602.11320754717,-2.2520440628566955e-13
48602.264150943396,-6.681719535522353e-13
48602.41509433962,-5.623674033577987e-13
48602.56603773585,-3.887582801830058e-14
48602.71698113208,4.3876325348956577e-13
48602.8679245283,5.14403522015019e-13
48603.018867924526,2.348321606325704e-13
48603.16981132075,-6.81864115649151e-14
48603.32075471698,-1.454855982819149e-13
48603.47169811321,-4.76776718282442e-14
48603.622641509435,1.7486870089991313e-15
48603.77358490566,-1.0926202032167461e-13
48603.92452830189,-2.5728926842596607e-13
48604.07547169811,-2.330334052532368e-13
48604.22641509434,1.0841707723564848e-14
48604.377358490565,2.817542809063813e-13
48604.52830188679,3.270873358508269e-13
48604.67924528302,8.861302552571194e-14
48604.83018867925,-2.3225206069669065e-13
48604.981132075474,-3.603192537368536e-13
48605.1320754717,-1.9175158291114007e-13
48605.28301886792,1.2928256688407246e-13
48605.43396226415,3.507024553043005e-13
48605.58490566038,3.2446479718634313e-13
48605.735849056604,1.0702679375599679e-13
48605.88679245283,-1.1508760840810432e-13
48606.03773584906,-1.8841054220340855e-13
48606.188679245286,-1.0320017429256974e-13
48606.339622641506,2.510345938348185e-14
48606.49056603773,6.83295477314078e-14
48606.64150943396,-9.14272522325063e-15
48606.79245283019,-1.321980386177869e-13
48606.943396226416,-1.8657422084785887e-13
48607.09433962264,-1.1464099544584218e-13
48607.24528301887,4.105851036796518e-14
48607.3962264151,1.7508635514591483e-13
48607.54716981132,2.0116847620379686e-13
48607.698113207545,1.1275858966176818e-13
48607.84905660377,-2.0373754851913183e-14
48608.0,-1.0926127297529002e-13
48608.15094339623,-1.0846947753126613e-13
48608.301886792455,-3.928882911570922e-14
48608.45283018868,3.658104712771734e-14
48608.6037735849,6.619822341758435e-14
48608.75471698113,3.9302245832319966e-14
48608.90566037736,-1.3553550363451578e-14
48609.056603773584,-5.0394256017543785e-14
48609.20754716981,-4.89203734153534e-14
48609.35849056604,-1.74760342310832e-14
48609.50943396227,1.7435196024386615e-14
48609.660377358494,3.334203747565978e-14
48609.811320754714,2.610461486538084e-14
48609.96226415094,8.091996885905456e-15
48610.11320754717,-4.791485855743362e-15
48610.264150943396,-5.428197830214145e-15
48610.41509433962,1.571387104008817e-15
48610.56603773585,6.344850505265219e-15
48610.71698113208,2.834459003765619e-15
48610.8679245283,-6.879316397994353e-15
48611.018867924526,-1.531010116097545e-14
48611.16981132075,-1.6026423166527956e-14
48611.32075471698,-8.381797575664868e-15
